	logFC	logCPM	F	PValue	FDR
DHX38	13.790839197271	6.25198215623354	1339.47838544313	6.9193546303264e-20	2.09485196517393e-19
TTBK2	15.6436627198328	4.19105944341384	1343.4318074897	6.93570998064955e-20	2.09931389549558e-19
XPNPEP1	13.8722036652618	6.59913670867746	1339.05937842785	6.93877922041519e-20	2.09975321757446e-19
GTF2H4	16.6977703634781	3.16949762296802	1357.91627384167	6.94101936976312e-20	2.09994150116913e-19
PRRG2	18.0138254457819	2.74464663942353	1366.80438839575	6.94420233021958e-20	2.1004148693526e-19
PTPN2	13.9048995410227	6.21777136246842	1338.82501989256	6.95370494250741e-20	2.1027990784903e-19
PIGG	14.4286373780034	4.9759058239996	1339.9102861141	6.95732313473667e-20	2.10340314385621e-19
TLK1	12.1191353444199	7.53613765086443	1338.53367024248	6.95992563964338e-20	2.10369992726901e-19
CDC42SE2	12.5419509546521	8.12733045434165	1338.16374295941	6.97759841675467e-20	2.10855063681161e-19
SOWAHC	15.4187904353002	6.00368126734557	1338.3560312231	6.99134818367071e-20	2.11218564831727e-19
RPIA	15.4444826677477	4.25089041640351	1341.9384962071	6.99288214101188e-20	2.11218564831727e-19
DPH3	15.688754151238	4.84106357901077	1339.44668534511	7.00876830452949e-20	2.11649148032779e-19
C7orf50	15.2217528296618	4.06111220742577	1343.02580438612	7.01767490262949e-20	2.11868812656962e-19
SPECC1L	13.5574682856978	7.18337884616574	1337.27602646851	7.02625729508682e-20	2.12078589378911e-19
MRPL41	17.6573989470693	3.24297765973947	1356.32904036356	7.03521117907676e-20	2.12299478942658e-19
CHSY1	14.1286959632761	5.3839860922642	1337.68382746093	7.03954916339308e-20	2.12381005559458e-19
THAP9	15.9616800515918	3.45086924287976	1350.08207831953	7.05647369403712e-20	2.12842138217308e-19
SCNN1A	13.7877656479699	7.10607992002559	1336.52119074897	7.06650408641511e-20	2.13095159241593e-19
NPC1	14.5161792993429	5.43143538316381	1336.91594632153	7.07791888420519e-20	2.13389800692449e-19
USE1	16.571512461224	2.89514837658293	1362.41404737261	7.08527699278364e-20	2.13562029933439e-19
SMG5	13.0498938355734	6.51846181489926	1336.03654095965	7.09585762517775e-20	2.13831288872027e-19
HTT	11.9554223529882	7.24826404274038	1335.88398543834	7.09889962929901e-20	2.13844599553864e-19
CCDC115	16.0380804578246	4.09489970935259	1341.11119380558	7.1011985484395e-20	2.13844599553864e-19
ABHD11	15.0072866233714	5.24737139355459	1336.70566305739	7.10124219182643e-20	2.13844599553864e-19
COPS3	13.8087800152536	6.06090682230201	1335.98739402961	7.10492457830691e-20	2.13905859665612e-19
ERMP1	13.3322171687807	6.87058263596238	1335.61966911073	7.11530423580119e-20	2.1416867735729e-19
SOWAHB	16.3993952262142	4.23849125338253	1339.97907012254	7.13654081104984e-20	2.14758087610981e-19
HINT3	14.1099450621035	5.87740674354598	1335.35003324967	7.14311284896915e-20	2.14906030752829e-19
BSG	13.9450165052249	7.31471794048629	1334.91524616186	7.1511176486097e-20	2.15097001069074e-19
SEPN1	14.4343016652081	4.92656494539995	1336.17627929861	7.15940630091939e-20	2.15248202053318e-19
KIAA0247	14.3824489731424	6.19075678480778	1334.96209670665	7.1594613472854e-20	2.15248202053318e-19
SESN2	16.9774768879386	4.0266094166743	1341.90659915842	7.17231826007432e-20	2.15584804764948e-19
LAMB1	11.1020240715186	8.32239505559602	1334.36886794079	7.1761897961928e-20	2.15651232611221e-19
TOR3A	15.1217354800802	4.44061850493105	1337.18197439368	7.1890723453431e-20	2.15988356412519e-19
