	SYMBOL	ENTREZID
784	UTP23	84294
785	EXOC8	149371
786	GTF3C5	9328
787	EMC10	284361
788	CEP104	9731
789	ZW10	9183
790	PI4K2B	55300
791	RNF220	55182
792	TMX3	54495
793	METTL15	196074
794	PRKACA	5566
795	AP2M1	1173
796	ZFAND6	54469
797	YTHDF2	51441
798	ZNF644	84146
799	DHX16	8449
800	MED21	9412
801	SF3A3	10946
802	GRB2	2885
803	CALCOCO2	10241
804	SUPV3L1	6832
805	VPS33B	26276
806	ITSN2	50618
807	SMARCA5	8467
808	CNOT6L	246175
809	IFT43	112752
810	XPNPEP3	63929
811	KLHL36	79786
812	NAP1L4	4676
813	SOCS4	122809
814	NR2C1	7181
815	MRPL47	57129
816	ERGIC2	51290
817	HERC3	8916
818	SIL1	64374
819	GNAI3	2773
820	ANKRD49	54851
821	NEDD1	121441
822	RMND5B	64777
823	PLEKHF2	79666
824	NDUFA10	4705
825	PRKRA	8575
826	AMD1	262
827	MSL3	10943
828	FBXO8	26269
829	RBM7	10179
830	TMEM184B	25829
831	TCEA1	6917
832	PPP5C	5536
833	MAP3K11	4296
834	SLK	9748
835	DESI1	27351
836	RNMT	8731
837	PLEKHA5	54477
838	ALG1	56052
839	ACAP2	23527
840	PHF20	51230
841	SLC38A2	54407
842	AP1B1	162
843	TNIP1	10318
844	GID8	54994
845	OSBPL11	114885
846	PEX14	5195
847	CBLL1	79872
848	NUB1	51667
849	HSDL1	83693
850	EIF2S1	1965
851	E2F4	1874
852	OSBPL9	114883
853	RSBN1	54665
854	POLE3	54107
855	GLRX5	51218
856	KIF21A	55605
857	PAIP1	10605
858	NDUFAF7	55471
859	CEP44	80817
860	CEP63	80254
861	BID	637
862	MED10	84246
863	TRUB1	142940
864	LIN7C	55327
865	ERCC1	2067
866	HBS1L	10767
867	PPP1CC	5501
868	SECISBP2	79048
869	MBTPS1	8720
870	L3MBTL2	83746
871	TMEM115	11070
872	PDCD10	11235
873	ZNF480	147657
874	FUCA2	2519
875	ETF1	2107
876	DNAJC13	23317
877	ZNF706	51123
878	ATF6B	1388
879	HSPA14	51182
880	EIF2B2	8892
881	ADCK1	57143
882	PBX2	5089
883	SLC39A14	23516
884	CHMP7	91782
885	PPWD1	23398
886	RAB8A	4218
887	RPP38	10557
888	SEC22A	26984
889	MAU2	23383
890	UBE2D2	7322
891	PQBP1	10084
892	FXR2	9513
893	FIP1L1	81608
894	MMS19	64210
895	NAA35	60560
896	WDR12	55759
897	SREK1IP1	285672
898	PIP5K1C	23396
899	GSS	2937
900	PEX1	5189
901	SPTSSA	171546
902	NR2C2	7182
903	CTTN	2017
904	TRDMT1	1787
905	ELAVL1	1994
906	C2orf69	205327
907	TMEM183A	92703
908	DAD1	1603
909	SAP30BP	29115
910	CNOT1	23019
911	LEMD2	221496
912	ATR	545
913	SERAC1	84947
914	EIF4ENIF1	56478
915	STK11	6794
916	ITFG2	55846
917	CSNK1G3	1456
918	MTX2	10651
919	ZFYVE19	84936
920	BAG5	9529
921	DCAF6	55827
922	SMARCD2	6603
923	R3HCC1	203069
924	DNAL1	83544
925	ZNF174	7727
926	TRIM33	51592
927	JOSD1	9929
928	CHMP4A	29082
929	ZNF799	90576
930	GRSF1	2926
931	RAB40C	57799
932	TUSC2	11334
933	RFC1	5981
934	TRUB2	26995
935	TIMM22	29928
936	FBXO34	55030
937	ALKBH1	8846
938	TTC38	55020
939	TMTC2	160335
940	MAP2K1	5604
941	ITPK1	3705
942	TMEM70	54968
943	FOSL2	2355
944	ANKHD1	54882
945	CNOT7	29883
946	ZNF768	79724
947	KDM6A	7403
948	COX15	1355
949	CBLC	23624
950	PRKAR2A	5576
951	TMEM109	79073
952	ADNP2	22850
953	FAM3A	60343
954	POLRMT	5442
955	MON2	23041
956	INTS10	55174
957	SBNO1	55206
958	ARF3	377
959	TM9SF1	10548
960	MAD2L1BP	9587
961	IFT74	80173
962	PIGX	54965
963	MRPL17	63875
964	MPHOSPH6	10200
965	GCLC	2729
966	CRIM1	51232
967	PWP1	11137
968	CHUK	1147
969	UBE2F	140739
970	POLR3B	55703
971	ERCC8	1161
972	NOL7	51406
973	CELF1	10658
974	ZSCAN20	7579
975	ACOX3	8310
976	COMMD10	51397
977	DPH1	1801
978	ACAD9	28976
979	ZBTB34	403341
980	ADO	84890
981	USP39	10713
982	RC3H1	149041
983	MYO1E	4643
984	ZNF680	340252
985	LRRC41	10489
986	STAG1	10274
987	MIB1	57534
988	MAPK8	5599
989	NAA20	51126
990	ZNF227	7770
991	MATR3	9782
992	NXF1	10482
993	DFFA	1676
994	AP1G1	164
995	ZHX2	22882
996	NGRN	51335
997	RMND5A	64795
998	PSMB10	5699
999	TRPM7	54822
1000	GPAA1	8733
1001	FNTA	2339
1002	TXNDC9	10190
1003	DCP2	167227
1004	GRK6	2870
1005	MRPS18A	55168
1006	NT5C2	22978
1007	CDK2AP1	8099
1008	AKR1A1	10327
1009	MTPAP	55149
1010	FAM117B	150864
1011	IPO11	51194
1012	PPP4R2	151987
1013	EXOC3	11336
1014	OTUD5	55593
1015	RNF167	26001
1016	FBXO7	25793
1017	RAB11A	8766
1018	ZMYM4	9202
1019	SLC35C2	51006
1020	PARS2	25973
1021	URGCP	55665
1022	CISD2	493856
1023	LYN	4067
1024	TMEM214	54867
1025	PEF1	553115
1026	SWAP70	23075
1027	ZSCAN29	146050
1028	MAX	4149
1029	HINT2	84681
1030	DNAJB6	10049
1031	RGP1	9827
1032	PPM1A	5494
1033	MRFAP1L1	114932
1034	BUD13	84811
1035	NACC1	112939
1036	PPME1	51400
1037	PCGF1	84759
1038	MRPL43	84545
1039	CXorf38	159013
1040	SND1	27044
1041	NDUFB8	4714
1042	SH3GLB2	56904
1043	GABPA	2551
1044	SAP130	79595
1045	WDR47	22911
1046	GPN2	54707
1047	ZNF267	10308
1048	USO1	8615
1049	PPIE	10450
1050	INTS12	57117
1051	GPATCH8	23131
1052	CCDC97	90324
1053	TRMT61B	55006
1054	DAZAP1	26528
1055	DDX39B	7919
1056	NBAS	51594
1057	ADAT1	23536
1058	DIAPH2	1730
1059	MRS2	57380
1060	COMMD7	149951
1061	ATG5	9474
1062	CHRAC1	54108
1063	CRCP	27297
1064	MARVELD2	153562
1065	CGGBP1	8545
1066	C5orf24	134553
1067	MAP3K2	10746
1068	GEMIN8	54960
1069	GMIP	51291
1070	NDUFV3	4731
1071	CWF19L1	55280
1072	SETD3	84193
1073	PMM2	5373
1074	SENP3	26168
1075	ATG9A	79065
1076	DENND4A	10260
1077	MKNK1	8569
1078	ZNF557	79230
1079	PSMB7	5695
1080	PPM1D	8493
1081	IPMK	253430
1082	ANKS4B	257629
1083	RNF8	9025
1084	ARL8B	55207
1085	SIRT1	23411
1086	C6orf89	221477
1087	AUH	549
1088	TRIM5	85363
1089	FAM200B	285550
1090	GBF1	8729
1091	UCK1	83549
1092	SSR1	6745
1093	MRPL49	740
1094	COMMD4	54939
1095	EIF3M	10480
1096	MUS81	80198
1097	GLUD1	2746
1098	AURKAIP1	54998
1099	U2SURP	23350
1100	KAT6A	7994
1101	SCOC	60592
1102	NUDCD3	23386
1103	CYB561	1534
1104	MFAP3	4238
1105	TTC21B	79809
1106	NDUFB9	4715
1107	BMPR1A	657
1108	BLOC1S5	63915
1109	UBE2E3	10477
1110	DCTN1	1639
1111	TBL1XR1	79718
1112	FAM98A	25940
1113	TMEM11	8834
1114	BBIP1	92482
1115	TPCN1	53373
1116	TXNL4B	54957
1117	PCMT1	5110
1118	DEF8	54849
1119	GIT1	28964
1120	MRPS11	64963
1121	GTF3C1	2975
1122	ADAM10	102
1123	EMC4	51234
1124	PRKAA1	5562
1125	TMEM203	94107
1126	AP4M1	9179
1127	TAF6	6878
1128	MRPL37	51253
1129	REST	5978
1130	CDKAL1	54901
1131	DDX1	1653
1132	CIZ1	25792
1133	CDC5L	988
1134	SUGP1	57794
1135	SLC35G1	159371
1136	PGM2	55276
1137	NDUFC1	4717
1138	CTDSP1	58190
1139	TBRG1	84897
1140	KATNA1	11104
1141	FAM76B	143684
1142	ABL1	25
1143	POLDIP3	84271
1144	NARS2	79731
1145	TXLNA	200081
1146	VPS29	51699
1147	SAR1A	56681
1148	BCL2L11	10018
1149	ZNRF2	223082
1150	SRP72	6731
1151	VPS18	57617
1152	RNF187	149603
1153	TRMT5	57570
1154	STX5	6811
1155	STOML2	30968
1156	RABL3	285282
1157	TRMT10B	158234
1158	PARD3	56288
1159	SLC39A13	91252
1160	FKRP	79147
1161	NRAS	4893
1162	POLR2L	5441
1163	MLYCD	23417
1164	KRIT1	889
1165	MFHAS1	9258
1166	TRMT10C	54931
1167	LMF2	91289
1168	ISCA1	81689
1169	EPN2	22905
1170	SHC1	6464
1171	CARM1	10498
1172	PDLIM5	10611
1173	KLHDC10	23008
1174	METTL23	124512
1175	CAMK2G	818
1176	SERINC1	57515
1177	RASA2	5922
1178	MRPL1	65008
1179	PRPF39	55015
1180	ZNF567	163081
1181	SLC30A6	55676
1182	BLOC1S2	282991
1183	SMC5	23137
1184	GMPS	8833
1185	PITRM1	10531
1186	SLC25A11	8402
1187	EPC2	26122
1188	PLEKHJ1	55111
1189	EXOSC6	118460
1190	SNTB2	6645
1191	HELQ	113510
1192	RNF7	9616
1193	SLC12A6	9990
1194	NCDN	23154
1195	ZNHIT6	54680
1196	ITPKB	3707
1197	NIP7	51388
1198	GYG1	2992
1199	USP37	57695
1200	TRAPPC3	27095
1201	HMGN4	10473
1202	DDX17	10521
1203	RNF216	54476
1204	SSBP1	6742
1205	TADA3	10474
1206	EXOC2	55770
1207	CNP	1267
1208	GGNBP2	79893
1209	NRBP1	29959
1210	CEP57L1	285753
1211	WBP1L	54838
1212	CLTA	1211
1213	MOCS2	4338
1214	FAN1	22909
1215	PIP4K2C	79837
1216	RNF149	284996
1217	UBE2L3	7332
1218	NDST2	8509
1219	GPATCH3	63906
1220	ZC3H15	55854
1221	CTTNBP2NL	55917
1222	UBAP1	51271
1223	SNX19	399979
1224	SENP7	57337
1225	DDX42	11325
1226	SDCBP	6386
1227	EML4	27436
1228	RSL24D1	51187
1229	EIF2B5	8893
1230	MAN2A1	4124
1231	FCHO2	115548
1232	AGPAT3	56894
1233	KLHL20	27252
1234	SPTLC1	10558
1235	NAGPA	51172
1236	RXRA	6256
1237	NSL1	25936
1238	ARPC5L	81873
1239	ATP6V1E1	529
1240	ERH	2079
1241	MTMR2	8898
1242	SCAF8	22828
1243	C6orf47	57827
1244	PHF2	5253
1245	NSUN6	221078
1246	MRPS9	64965
1247	HS2ST1	9653
1248	MRPL10	124995
1249	MIOS	54468
1250	COG8	84342
1251	CLINT1	9685
1252	ZFP91	80829
1253	NPLOC4	55666
1254	ELP6	54859
1255	PAPOLA	10914
1256	ALS2	57679
1257	ANAPC13	25847
